Country,AreaId
ANA,1
NN,1
XXA,1
AUT,1
GER,1
SUI,1
SLO,1
BIH,1
CZE,1
MNE,1
TUR,1
HUN,1
BUL,1
POL,1
LIE,1
CRO,1
FRA,1
RUS,1
ITA,1
GRE,1
ARM,1
NED,1
SWE,1
SVK,1
DEN,1
GBR,1
IRL,1
BEL,1
UKR,1
ROU,1
GEO,1
FIN,1
CYP,1
EST,1
ISR,1
ISL,1
BLR,1
AZE,1
BIH,1
AND,1
ALB,1
ESP,1
SMR,1
UZB,1
MON,1
MDA,1
MLT,1
MKD,1
LUX,1
LTU,1
LAT,1
POR,1
NOR,1
GRE,1
HUN,1
SRB,1
KOS,1
CUB,7
USA,7
CAN,7
ESA,7
DOM,7
DMA,7
JAM,7
HON,7
HAI,7
BER,7
BIZ,7
BAR,7
CRC,7
ARU,7
ANT,7
BAH,7
GUA,7
IVB,7
CAY,7
STP,7
VIN,7
LCA,7
SKN,7
GRN,7
TGA,7
MEX,7
PUR,7
NCA,7
AHO,7
AIA,7
ISV,7
ECU,7
GUY,7
ARG,7
COL,7
CHI,7
BOL,7
BRA,7
VEN,7
URU,7
SUR,7
PER,7
PAR,7
PAN,7
NGR,4
MAR,4
LBR,4
MRI,4
RSA,4
GEQ,4
GAM,4
GAB,4
ETH,4
GHA,4
ERI,4
EGY,4
DJI,4
CIV,4
KEN,4
COD,4
GBS,4
GUI,4
ZIM,4
BEN,4
ANG,4
ALG,4
CMR,4
CGO,4
COM,4
CHA,4
CAF,4
CPV,4
BDI,4
BUR,4
BOT,4
SEN,4
SUD,4
SOM,4
RWA,4
SLE,4
UGA,4
ZAM,4
SWZ,4
TUN,4
TTO,4
TOG,4
TAN,4
MAD,4
MTN,4
MLI,4
MAW,4
LBA,4
LES,4
MOZ,4
NIG,4
NAM,4
SSD,4
JPN,5
KOR,5
AFG,5
IND,5
SYR,5
INA,5
KUW,5
PRK,5
KAZ,5
JOR,5
IRI,5
HKG,5
IRQ,5
BAN,5
BRN,5
CHN,5
BHU,5
CAM,5
BRU,5
LAO,5
SRI,5
SGP,5
QAT,5
SEY,5
TJK,5
KSA,5
YEM,5
VIE,5
UAE,5
THA,5
MDV,5
MGL,5
LIB,5
TPE,5
MAS,5
OMA,5
PHI,5
PLE,5
PAK,5
NEP,5
MYA,5
MAC,5
TLS,5
KGZ,6
FIJ,6
GUM,6
AUS,6
ASA,6
COK,6
SOL,6
SAM,6
VAN,6
TKM,6
FSM,6
PNG,6
NZL,6
NRU,6
PLW,6
MHL,6
TUV,6
